3755 GB2312-80 level-1 Chinese characters
Character	GB code	Unicode
¶Þ	0xdeb6	0x6387
¶ß	0xdfb6	0x54c6
¶à	0xe0b6	0x591a
¶á	0xe1b6	0x593a
¶â	0xe2b6	0x579b
¶ã	0xe3b6	0x8eb2
¶ä	0xe4b6	0x6735
¶å	0xe5b6	0x8dfa
¶æ	0xe6b6	0x8235
¶ç	0xe7b6	0x5241
¶è	0xe8b6	0x60f0
¶é	0xe9b6	0x5815
¶ê	0xeab6	0x86fe
¶ë	0xebb6	0x5ce8
¶ì	0xecb6	0x9e45
¶í	0xedb6	0x4fc4
¶î	0xeeb6	0x989d
¶ï	0xefb6	0x8bb9
¶ð	0xf0b6	0x5a25
¶ñ	0xf1b6	0x6076
¶ò	0xf2b6	0x5384
¶ó	0xf3b6	0x627c
¶ô	0xf4b6	0x904f
¶õ	0xf5b6	0x9102
¶ö	0xf6b6	0x997f
¶÷	0xf7b6	0x6069
¶ø	0xf8b6	0x800c
¶ù	0xf9b6	0x513f
¶ú	0xfab6	0x8033
¶û	0xfbb6	0x5c14
¶ü	0xfcb6	0x9975
¶ý	0xfdb6	0x6d31
¶þ	0xfeb6	0x4e8c
·¡	0xa1b7	0x8d30
·¢	0xa2b7	0x53d1
·£	0xa3b7	0x7f5a
·¤	0xa4b7	0x7b4f
·¥	0xa5b7	0x4f10
·¦	0xa6b7	0x4e4f
·§	0xa7b7	0x9600
·¨	0xa8b7	0x6cd5
·©	0xa9b7	0x73d0
·ª	0xaab7	0x85e9
·«	0xabb7	0x5e06
·¬	0xacb7	0x756a
·­	0xadb7	0x7ffb
·®	0xaeb7	0x6a0a
·¯	0xafb7	0x77fe
·°	0xb0b7	0x9492
·±	0xb1b7	0x7e41
·²	0xb2b7	0x51e1
·³	0xb3b7	0x70e6
·´	0xb4b7	0x53cd
·µ	0xb5b7	0x8fd4
·¶	0xb6b7	0x8303
··	0xb7b7	0x8d29
·¸	0xb8b7	0x72af
·¹	0xb9b7	0x996d
·º	0xbab7	0x6cdb
·»	0xbbb7	0x574a
·¼	0xbcb7	0x82b3
·½	0xbdb7	0x65b9
·¾	0xbeb7	0x80aa
·¿	0xbfb7	0x623f
·À	0xc0b7	0x9632
·Á	0xc1b7	0x59a8
·Â	0xc2b7	0x4eff
·Ã	0xc3b7	0x8bbf
·Ä	0xc4b7	0x7eba
·Å	0xc5b7	0x653e
·Æ	0xc6b7	0x83f2
·Ç	0xc7b7	0x975e
·È	0xc8b7	0x5561
·É	0xc9b7	0x98de
·Ê	0xcab7	0x80a5
·Ë	0xcbb7	0x532a
·Ì	0xccb7	0x8bfd
·Í	0xcdb7	0x5420
·Î	0xceb7	0x80ba
·Ï	0xcfb7	0x5e9f
·Ð	0xd0b7	0x6cb8
·Ñ	0xd1b7	0x8d39
·Ò	0xd2b7	0x82ac
·Ó	0xd3b7	0x915a
·Ô	0xd4b7	0x5429
·Õ	0xd5b7	0x6c1b
·Ö	0xd6b7	0x5206
·×	0xd7b7	0x7eb7
·Ø	0xd8b7	0x575f
·Ù	0xd9b7	0x711a
·Ú	0xdab7	0x6c7e
·Û	0xdbb7	0x7c89
·Ü	0xdcb7	0x594b
·Ý	0xddb7	0x4efd
·Þ	0xdeb7	0x5fff
·ß	0xdfb7	0x6124
·à	0xe0b7	0x7caa
·á	0xe1b7	0x4e30
·â	0xe2b7	0x5c01
·ã	0xe3b7	0x67ab
·ä	0xe4b7	0x8702
·å	0xe5b7	0x5cf0
·æ	0xe6b7	0x950b
·ç	0xe7b7	0x98ce
·è	0xe8b7	0x75af
·é	0xe9b7	0x70fd
·ê	0xeab7	0x9022
·ë	0xebb7	0x51af
·ì	0xecb7	0x7f1d
·í	0xedb7	0x8bbd
·î	0xeeb7	0x5949
·ï	0xefb7	0x51e4
·ð	0xf0b7	0x4f5b
·ñ	0xf1b7	0x5426
·ò	0xf2b7	0x592b
·ó	0xf3b7	0x6577
·ô	0xf4b7	0x80a4
·õ	0xf5b7	0x5b75
·ö	0xf6b7	0x6276
·÷	0xf7b7	0x62c2
·ø	0xf8b7	0x8f90
·ù	0xf9b7	0x5e45
·ú	0xfab7	0x6c1f
·û	0xfbb7	0x7b26
·ü	0xfcb7	0x4f0f
·ý	0xfdb7	0x4fd8
